0	0.00
40391   0.50
41461	1.09
42531	1.77
43601	2.55
44671	3.45
45741	4.48
46811	5.64
47881	6.94
48951	8.39
50021	10.01
51091	11.78
52161	13.73
53231	15.84
54301	18.12
55371	20.56
56441	23.17
57511	25.92
58581	28.82
59651	31.85
60721	34.98
61791	38.22
62861	41.53
63931	44.89
65001	48.29
66070	51.70
67140	55.10
68210	58.47
69280	61.78
70350	65.01
71420	68.15
72490	71.18
73560	74.08
74630	76.83
75700	79.44
76770	81.88
77840	84.16
78910	86.27
79980	88.22
81050	89.99
82120	91.60
83190	93.06
84260	94.36
85330	95.52
86400	96.55
87470	97.45
88540	98.23
89610	98.91
90680	99.50
91750	100.00
